X,budget,company,country,director,genre,gross,name,rating,release_month,runtime,score,star,votes,writer,year,budget_missing,region,direc_freq,comp_freq,season,id,afinn_score,sentiment_best,writer_count,writer_popularity,director_count,director_popularity,star_count,star_popularity
6245,21000000,Verisimilitude,USA,Mike Cahill,Drama,334658,I Origins,R,9,106,7.3,Michael Pitt,90264,Mike Cahill,2014,1,North America,1.0986122886681098,0.6931471805599453,Fall,6245,0,0,2,4,2,2,4,3
6246,24000000,Annapurna Pictures,USA,Bennett Miller,Biography,12096300,Foxcatcher,R,1,134,7,Steve Carell,117034,E. Max Frye,2014,0,North America,1.3862943611198906,1.6094379124341003,Winter,6246,0,0,4,5,3,3,15,5
6247,13000000,Chernin Entertainment,USA,Theodore Melfi,Comedy,44134898,St. Vincent,PG-13,10,102,7.3,Bill Murray,82653,Theodore Melfi,2014,0,North America,1.0986122886681098,1.3862943611198906,Fall,6247,0,0,1,2,2,2,14,4
6248,14000000,Open Road Films,Belgium,Erik Van Looy,Mystery,5981749,El penthouse,R,1,108,6.3,Karl Urban,40462,Bart De Pauw,2014,0,Western Europe,1.0986122886681098,1.0986122886681098,Winter,6248,0,0,1,2,2,2,4,3
6249,25000000,Paramount Pictures,USA,Rupert Wyatt,Crime,33631221,The Gambler,R,12,111,6,Mark Wahlberg,53990,William Monahan,2014,0,North America,1.3862943611198906,5.560681631015528,Winter,6249,0,0,6,5,3,3,23,5
6250,8000000,Treehouse Pictures,USA,Tom Gormican,Comedy,26049082,That Awkward Moment,R,1,94,6.2,Zac Efron,83613,Tom Gormican,2014,0,North America,0.6931471805599453,1.0986122886681098,Winter,6250,-2,-2,1,3,1,1,10,4
6251,10000000,The Weinstein Company,USA,Tim Burton,Biography,14479776,Big Eyes,PG-13,12,106,7,Amy Adams,66972,Scott Alexander,2014,0,North America,2.8903717578961645,3.4011973816621555,Winter,6251,1,1,6,5,17,5,8,4
6252,9000000,Universal Pictures,France,James DeMonaco,Action,71962800,12 horas para sobrevivir,R,7,103,6.5,Frank Grillo,110032,James DeMonaco,2014,0,Western Europe,1.3862943611198906,5.713732805509369,Summer,6252,0,0,6,5,3,3,2,2
6253,50000000,StudioCanal,UK,Jaume Collet-Serra,Action,92168600,Non-Stop,PG-13,2,106,7,Liam Neeson,216312,John W. Richardson,2014,0,Western Europe,1.9459101490553132,2.9444389791664403,Winter,6253,-1,-1,1,3,6,4,20,5
6254,50000000,Broken Road Productions,USA,Steven Quale,Action,47602194,Into the Storm,PG-13,8,89,5.8,Richard Armitage,57376,John Swetnam,2014,0,North America,1.0986122886681098,1.0986122886681098,Summer,6254,0,0,1,3,2,2,1,2
6255,50000000,Warner Bros.,USA,David Dobkin,Crime,47119388,The Judge,R,10,141,7.4,Robert Downey Jr.,150371,Nick Schenk,2014,0,North America,1.9459101490553132,5.68697535633982,Fall,6255,0,0,2,4,6,4,17,5
6256,35000000,Universal Pictures,USA,Bobby Farrelly,Adventure,86208010,Dumb and Dumber To,PG-13,11,109,5.7,Jim Carrey,107048,Sean Anders,2014,0,North America,2.4849066497880004,5.713732805509369,Fall,6256,-3,-3,5,5,11,5,22,5
6257,21000000,Sidney Kimmel Entertainment,USA,Steven Brill,Comedy,39751,Walk of Shame,R,5,95,6,Elizabeth Banks,44493,Steven Brill,2014,1,North America,1.9459101490553132,1.9459101490553132,Spring,6257,-2,-2,5,5,6,4,1,2
6258,5000000,Legendary Entertainment,USA,John Erick Dowdle,Horror,21197315,"As Above, So Below",R,8,93,6.2,Perdita Weeks,57343,John Erick Dowdle,2014,0,North America,1.6094379124341003,1.3862943611198906,Summer,6258,0,0,3,4,4,3,1,2
6259,17000000,Genre Films,USA,Luke Greenfield,Comedy,82390774,Let's Be Cops,R,8,104,6.5,Jake Johnson,114845,Luke Greenfield,2014,0,North America,1.6094379124341003,0.6931471805599453,Summer,6259,0,0,1,3,4,3,1,2
6260,42000000,BenderSpink,USA,Sean Anders,Comedy,54445357,Horrible Bosses 2,R,11,108,6.3,Jason Bateman,129349,Sean Anders,2014,0,North America,1.6094379124341003,1.6094379124341003,Fall,6260,-3,-3,5,5,4,3,11,4
